TXN202600000000,900000003775,STRIPE,FAILED,ERR_INSUFFICIENT_FUNDS,869,MOBILE_APP,"Chennai, IND",2024-01-01 00:00:00.0000000
TXN202600000001,900000003606,PHONEPE,SUCCESS,SUCCESS,1185,MOBILE_WEB,"Chennai, IND",2024-01-01 00:02:00.0000000
TXN202600000002,900000003696,BILLDESK,PENDING,ERR_INSUFFICIENT_FUNDS,286,DESKTOP_WEB,"Hyderabad, IND",2024-01-01 00:04:00.0000000
TXN202600000003,900000001699,STRIPE,SUCCESS,SUCCESS,965,DESKTOP_WEB,"Bengaluru, IND",2024-01-01 00:06:00.0000000
TXN202600000004,900000001736,BILLDESK,SUCCESS,SUCCESS,895,MOBILE_APP,"Pune, IND",2024-01-01 00:08:00.0000000
TXN202600000005,900000002089,PAYTM,SUCCESS,SUCCESS,276,MOBILE_APP,"Pune, IND",2024-01-01 00:10:00.0000000
TXN202600000006,900000003802,BILLDESK,PENDING,ERR_TIMEOUT,1166,MOBILE_WEB,"Mumbai, IND",2024-01-01 00:12:00.0000000
TXN202600000007,900000002006,PHONEPE,PENDING,ERR_INSUFFICIENT_FUNDS,965,MOBILE_APP,"Chennai, IND",2024-01-01 00:14:00.0000000
TXN202600000008,900000003604,STRIPE,SUCCESS,SUCCESS,789,MOBILE_WEB,"Bengaluru, IND",2024-01-01 00:16:00.0000000
TXN202600000009,900000003272,BILLDESK,SUCCESS,SUCCESS,314,DESKTOP_WEB,"Bengaluru, IND",2024-01-01 00:18:00.0000000
TXN202600000010,900000001640,BILLDESK,PENDING,ERR_INVALID_PIN,147,DESKTOP_WEB,"Delhi, IND",2024-01-01 00:20:00.0000000
TXN202600000011,900000003181,STRIPE,SUCCESS,SUCCESS,77,DESKTOP_WEB,"Pune, IND",2024-01-01 00:22:00.0000000
TXN202600000012,900000002172,PAYTM,FAILED,ERR_INSUFFICIENT_FUNDS,452,DESKTOP_WEB,"Pune, IND",2024-01-01 00:24:00.0000000
TXN202600000013,900000002645,PAYTM,PENDING,ERR_INSUFFICIENT_FUNDS,686,MOBILE_WEB,"Delhi, IND",2024-01-01 00:26:00.0000000
TXN202600000014,900000001551,RAZORPAY,SUCCESS,SUCCESS,213,DESKTOP_WEB,"Delhi, IND",2024-01-01 00:28:00.0000000
TXN202600000015,900000001549,CASHFREE,FAILED,ERR_TIMEOUT,576,MOBILE_APP,"Bengaluru, IND",2024-01-01 00:30:00.0000000
TXN202600000016,900000003120,RAZORPAY,FAILED,ERR_TIMEOUT,1152,DESKTOP_WEB,"Hyderabad, IND",2024-01-01 00:32:00.0000000
TXN202600000017,900000003368,CASHFREE,SUCCESS,SUCCESS,1005,DESKTOP_WEB,"Pune, IND",2024-01-01 00:34:00.0000000
TXN202600000018,900000000368,CASHFREE,SUCCESS,SUCCESS,76,DESKTOP_WEB,"Chennai, IND",2024-01-01 00:36:00.0000000
TXN202600000019,900000002420,BILLDESK,PENDING,ERR_INVALID_PIN,499,MOBILE_APP,"Chennai, IND",2024-01-01 00:38:00.0000000
TXN202600000020,900000000168,STRIPE,SUCCESS,SUCCESS,320,MOBILE_APP,"Bengaluru, IND",2024-01-01 00:40:00.0000000
TXN202600000021,900000001066,PAYTM,SUCCESS,SUCCESS,1176,MOBILE_WEB,"Bengaluru, IND",2024-01-01 00:42:00.0000000
TXN202600000022,900000000704,BILLDESK,SUCCESS,SUCCESS,172,MOBILE_WEB,"Hyderabad, IND",2024-01-01 00:44:00.0000000
TXN202600000023,900000002761,PHONEPE,FAILED,ERR_INSUFFICIENT_FUNDS,706,DESKTOP_WEB,"Delhi, IND",2024-01-01 00:46:00.0000000
TXN202600000024,900000000853,CASHFREE,SUCCESS,SUCCESS,163,MOBILE_WEB,"Hyderabad, IND",2024-01-01 00:48:00.0000000
TXN202600000025,900000000541,RAZORPAY,PENDING,ERR_TIMEOUT,455,MOBILE_APP,"Bengaluru, IND",2024-01-01 00:50:00.0000000
TXN202600000026,900000000684,PHONEPE,PENDING,ERR_TIMEOUT,775,MOBILE_APP,"Chennai, IND",2024-01-01 00:52:00.0000000
TXN202600000027,900000000689,BILLDESK,SUCCESS,SUCCESS,1103,MOBILE_APP,"Bengaluru, IND",2024-01-01 00:54:00.0000000
TXN202600000028,900000000677,RAZORPAY,PENDING,ERR_INSUFFICIENT_FUNDS,222,MOBILE_APP,"Chennai, IND",2024-01-01 00:56:00.0000000
TXN202600000029,900000002217,CASHFREE,SUCCESS,SUCCESS,816,MOBILE_APP,"Hyderabad, IND",2024-01-01 00:58:00.0000000
TXN202600000030,900000002114,CASHFREE,SUCCESS,SUCCESS,848,MOBILE_WEB,"Chennai, IND",2024-01-01 01:00:00.0000000
TXN202600000031,900000001188,RAZORPAY,SUCCESS,SUCCESS,306,MOBILE_APP,"Bengaluru, IND",2024-01-01 01:02:00.0000000
TXN202600000032,900000001613,PHONEPE,SUCCESS,SUCCESS,892,MOBILE_WEB,"Pune, IND",2024-01-01 01:04:00.0000000
TXN202600000033,900000002509,RAZORPAY,SUCCESS,SUCCESS,997,DESKTOP_WEB,"Bengaluru, IND",2024-01-01 01:06:00.0000000
TXN202600000034,900000003447,PAYTM,SUCCESS,SUCCESS,112,MOBILE_WEB,"Delhi, IND",2024-01-01 01:08:00.0000000
TXN202600000035,900000002944,PAYTM,PENDING,ERR_INSUFFICIENT_FUNDS,1033,MOBILE_WEB,"Chennai, IND",2024-01-01 01:10:00.0000000
TXN202600000036,900000000528,BILLDESK,PENDING,ERR_INVALID_PIN,658,DESKTOP_WEB,"Bengaluru, IND",2024-01-01 01:12:00.0000000
TXN202600000037,900000000861,RAZORPAY,SUCCESS,SUCCESS,706,DESKTOP_WEB,"Chennai, IND",2024-01-01 01:14:00.0000000
TXN202600000038,900000003559,CASHFREE,FAILED,ERR_TIMEOUT,590,MOBILE_APP,"Mumbai, IND",2024-01-01 01:16:00.0000000
TXN202600000039,900000003952,STRIPE,SUCCESS,SUCCESS,946,MOBILE_WEB,"Chennai, IND",2024-01-01 01:18:00.0000000
TXN202600000040,900000002663,PAYTM,SUCCESS,SUCCESS,1140,MOBILE_APP,"Hyderabad, IND",2024-01-01 01:20:00.0000000
TXN202600000041,900000002395,CASHFREE,SUCCESS,SUCCESS,235,MOBILE_WEB,"Mumbai, IND",2024-01-01 01:22:00.0000000
TXN202600000042,900000003482,PHONEPE,SUCCESS,SUCCESS,561,MOBILE_WEB,"Bengaluru, IND",2024-01-01 01:24:00.0000000
