1001,BR006,Ritu,Gupta,1992-12-15,XTDHL6545G,ritu.gupta565@gmail.com,9229768251,VERIFIED,2021-02-08 00:00:00.0000000,2021-02-08 00:00:00.0000000
1002,BR006,Priya,Desai,1967-11-24,QFNFR6752P,priya.desai879@gmail.com,9902764579,VERIFIED,2021-06-09 00:00:00.0000000,2021-06-09 00:00:00.0000000
1003,BR001,Deepak,Nair,1978-08-01,YUTKL1901C,deepak.nair994@gmail.com,9691851550,PENDING,2021-10-04 00:00:00.0000000,2021-10-04 00:00:00.0000000
1004,BR003,Priya,Sharma,1995-03-21,GNBFS4110M,priya.sharma553@gmail.com,9586591879,VERIFIED,2021-07-17 00:00:00.0000000,2021-07-17 00:00:00.0000000
1005,BR008,Sanjay,Mehta,1975-03-23,GUUUV5413Z,sanjay.mehta107@gmail.com,8931923863,PENDING,2021-03-17 00:00:00.0000000,2021-03-17 00:00:00.0000000
1006,BR007,Neha,Desai,1984-08-10,WNECA1840E,neha.desai705@gmail.com,7986123979,VERIFIED,2021-03-06 00:00:00.0000000,2021-03-06 00:00:00.0000000
1007,BR005,Arjun,Iyer,1971-07-09,HXYAF2588D,arjun.iyer996@gmail.com,7196903110,VERIFIED,2021-08-30 00:00:00.0000000,2021-08-30 00:00:00.0000000
1008,BR001,Sunita,Verma,1971-10-07,FYPEH2155H,sunita.verma52@gmail.com,7885175430,VERIFIED,2021-05-16 00:00:00.0000000,2021-05-16 00:00:00.0000000
1009,BR003,Suresh,Nair,1993-02-18,AJKKC4529H,suresh.nair105@gmail.com,9525513697,VERIFIED,2021-03-23 00:00:00.0000000,2021-03-23 00:00:00.0000000
1010,BR007,Deepak,Mohta,1971-03-09,KTKXH8900R,deepak.mohta380@gmail.com,7890894032,VERIFIED,2021-12-06 00:00:00.0000000,2021-12-06 00:00:00.0000000
1011,BR006,Sunita,Rao,1970-02-15,RRZLZ1913X,sunita.rao439@gmail.com,8473121749,VERIFIED,2021-08-28 00:00:00.0000000,2021-08-28 00:00:00.0000000
1012,BR003,Anil,Nair,1981-07-19,MVYXK7907A,anil.nair49@gmail.com,9128569380,VERIFIED,2021-08-30 00:00:00.0000000,2021-08-30 00:00:00.0000000
1013,BR004,Deepak,Patel,1996-09-23,XHMOM8288E,deepak.patel92@gmail.com,8703425952,VERIFIED,2021-04-10 00:00:00.0000000,2021-04-10 00:00:00.0000000
1014,BR003,Ritu,Desai,1987-07-27,MXDPF8139E,ritu.desai805@gmail.com,8604754320,VERIFIED,2021-01-08 00:00:00.0000000,2021-01-08 00:00:00.0000000
1015,BR006,Sunita,Joshi,1965-08-26,TXUNN4848X,sunita.joshi464@gmail.com,9221729714,VERIFIED,2021-09-07 00:00:00.0000000,2021-09-07 00:00:00.0000000
1016,BR001,Anil,Das,1997-09-13,DFKJO6497H,anil.das642@gmail.com,8861688250,VERIFIED,2021-06-12 00:00:00.0000000,2021-06-12 00:00:00.0000000
1017,BR008,Meena,Kumar,1983-04-05,OIBPF3094X,meena.kumar509@gmail.com,9914151554,VERIFIED,2021-08-16 00:00:00.0000000,2021-08-16 00:00:00.0000000
1018,BR006,Vikram,Patel,1977-03-04,SLUNJ7538Q,vikram.patel722@gmail.com,8279923461,VERIFIED,2021-05-17 00:00:00.0000000,2021-05-17 00:00:00.0000000
